id,title,organization,city,state,status,created_date
3343a6c6-8544-4d3d-beed-e4456e9933bf,"SAC Hospitality Lane Administration Ste 106 - San Bernardino, CA",SAC HEALTH SYSTEM,San Bernardino,CA,ACTIVE,2026-01-29
e0fd536a-9c14-45c7-8c7b-148ca536865a,"Providence Community Health Centers at Broad Street - Providence, RI","THE PROVIDENCE COMMUNITY HEALTH CENTERS, INC.",Providence,RI,ACTIVE,2026-01-29
b3215e9a-7063-42cf-b79b-9d2fda5b8ea7,"Dodge City Admin Office - Dodge City, KS","UNITED METHODIST WESTERN KANSAS MEXICAN-AMERICAN MINISTRIES, INC",Dodge City,KS,ACTIVE,2026-01-29
676dd194-e21d-493a-9ac8-d610f77da1f7,"TCCH - Administration - Pasco, WA",TRI-CITIES COMMUNITY HEALTH,Pasco,WA,ACTIVE,2026-01-29
7fe41e0b-d343-4774-a3a4-cb432605204d,"High Point High School (SBMH) - Beltsville, MD",MARY'S CENTER FOR MATERNAL AND CHILD CARE INC.,Beltsville,MD,ACTIVE,2026-01-29
a444c1db-aeaf-4a84-9f08-7c63d039cb86,"Lee Health Center - Leesburg, GA","Albany Area Primary Health Care, Inc.",Leesburg,GA,ACTIVE,2026-01-29
23adbed4-f674-41d4-9639-3880db53c2c6,"Heritage Health SBHC Heyburn Elementary - Saint Maries, ID",DIRNE COMMUNITY HEALTH CENTER,Saint Maries,ID,ACTIVE,2026-01-29
d67fcc37-093d-4810-97fd-6101911c9faf,"Mission Middle School - Escondido, CA",NEIGHBORHOOD HEALTHCARE,Escondido,CA,ACTIVE,2026-01-29
2eb770c6-c3b0-450a-873c-f0e41f505c63,"CNHF - Corporate Office - Santa Fe Springs, CA",CENTRAL NEIGHBORHOOD HEALTH FOUNDATION,Santa Fe Springs,CA,ACTIVE,2026-01-29
41f6d95c-03d5-4d32-b65a-35d061566220,"Tarzana Treatment Centers-Palmdale II - Palmdale, CA","TARZANA TREATMENT CENTERS, INC.",Palmdale,CA,ACTIVE,2026-01-29
ad23c692-a652-46e9-8c0b-8ddd889c0769,"Cottage - Hayward, CA","TIBURCIO VASQUEZ HEALTH CENTER, INCORPORATED",Hayward,CA,ACTIVE,2026-01-29
c8dd674e-ed91-4f8c-8dda-eb4d82eaabd1,"Mercer County Elementary Healthy Kids Clinic - Harrodsburg, KY","CUMBERLAND FAMILY MEDICAL CENTER, INC.",Harrodsburg,KY,ACTIVE,2026-01-29
308ed263-f80e-43cf-ad84-63778ca52480,"HWC Adventure Head Start - Vian - Vian, OK",Stigler Health and Wellness Center Inc.,Vian,OK,ACTIVE,2026-01-29
e1f93594-0aa4-4a99-9a47-6cb5e1f96c31,"CHC/SEIA Keokuk Clinic - Keokuk, IA",COMMUNITY HEALTH CENTERS OF SOUTHEASTERN IOWA INC,Keokuk,IA,ACTIVE,2026-01-29
0866e9b1-2129-4ad7-96f7-f5299c214ba8,"CommUnityCare at Southbridge - Austin, TX",TRAVIS COUNTY HEALTHCARE DISTRICT,Austin,TX,ACTIVE,2026-01-29
fbda9165-4103-4060-a929-02ca24fc45e4,"Rock River Community Clinic - Watertown - Watertown, WI","ROCK RIVER COMMUNITY CLINIC, INC.",Watertown,WI,ACTIVE,2026-01-29
02014e6e-277f-476e-9761-6cb24e03c118,"Kansas City CARE Clinic - Kansas City, MO",KANSAS CITY CARE CLINIC,Kansas City,MO,ACTIVE,2026-01-29
1def5532-8d60-430b-8884-5c9fcdbd7055,"Blue Ridge Health - Rosman Middle School - Rosman, NC","BLUE RIDGE COMMUNITY HEALTH SERVICES, INC.",Rosman,NC,ACTIVE,2026-01-29
b7d2e8cb-8e40-45e9-a6fa-d56005fd15cc,"La Mesa Family Counseling Center - San Diego, CA",FAMILY HEALTH CENTERS OF SAN DIEGO INC,San Diego,CA,ACTIVE,2026-01-29
3a58c3ce-5e3d-4d07-b69a-de53af0ea4cf,"Central Ozarks Medical Center - Laurie - Gravois Mills, MO",RICHLAND MEDICAL CENTER INC.,Gravois Mills,MO,ACTIVE,2026-01-29
a7a9c340-6184-438f-a46e-ff0dfd94465d,"St. Hope Community Health Center Clinic - Conroe, TX",ST. HOPE FOUNDATION,Conroe,TX,ACTIVE,2026-01-29
6958701f-7aad-4b4e-ba8a-d28e293c9da2,"Jane Pauley Community Health Center at Shelbyville - Shelbyville, IN","Jane Pauley Community Health Center, Inc.",Shelbyville,IN,ACTIVE,2026-01-29
60efb3e8-35dc-471e-8f08-4242d2a92a10,"Ossining AMD Middle School - SBHC - Ossining, NY","Open Door Family Medical Center, Inc.",Ossining,NY,ACTIVE,2026-01-29
caf0f6b3-8331-4413-bc15-53873a2824c2,"School Based Health Center At Mount Vernon High School - Mount Vernon, NY","Mount Vernon Neighborhood Health Center, Inc.",Mount Vernon,NY,ACTIVE,2026-01-29
75294090-29d4-44e9-a487-fb78016b09bf,"SCENIC RIVERS HEALTH SERVICES - Bigfork, MN","COOK AREA HEALTH SERVICES, INC",Bigfork,MN,ACTIVE,2026-01-29
fa4c0d6e-a54b-42f0-9916-6f8a49ae414c,"Stillmeadow Elementary SBHC - Stamford, CT",FAMILY CENTERS INC,Stamford,CT,ACTIVE,2026-01-29
3c527142-5542-4e65-86f8-34549416af0d,"Cumberland Family Medical Center Administrative Annex - Russell Springs, KY","CUMBERLAND FAMILY MEDICAL CENTER, INC.",Russell Springs,KY,ACTIVE,2026-01-29
7c33b846-cafe-4937-a376-c1d6ae32b03d,"Midtown Health Center - Grant Elementary School - Norfolk, NE","MIDTOWN HEALTH CENTER, INC.",Norfolk,NE,ACTIVE,2026-01-29
8980c9cb-db43-43eb-807e-06fe45926ef3,"Plainfield Central School SBHC - Plainfield, CT","COMMUNITY HEALTH CENTER, INCORPORATED",Plainfield,CT,ACTIVE,2026-01-29
00928a4d-e5c4-4f1a-bfb4-189a19f725b7,"Westerre Conference Center - Henrico, VA","CENTRAL VIRGINIA HEALTH SERVICES, INC.",Henrico,VA,ACTIVE,2026-01-29
fab1b2f8-c02c-43b5-8946-3ece7a4d6e47,"FamilyHealth - Center for Older Adults - Oceanside - Oceanside, CA",FAMILY HEALTH CENTERS OF SAN DIEGO INC,Oceanside,CA,ACTIVE,2026-01-29
086304d8-ab81-4735-9ec3-7e584880de2b,"Tensas School-Based Health Center - Saint Joseph, LA",TENSAS COMMUNITY HEALTH CENTER,Saint Joseph,LA,ACTIVE,2026-01-29
5495c483-8fa3-4119-8eab-e3ff5deda6b3,"HealthPoint TAF@Saghalie Campus Health Center - Federal Way, WA",HEALTHPOINT,Federal Way,WA,ACTIVE,2026-01-29
f94e30f0-6387-4f34-ac46-1a8619de575f,"HCHC Stone Port - Harrisonburg, VA","HARRISONBURG COMMUNITY HEALTH CENTER, INC.",Harrisonburg,VA,ACTIVE,2026-01-29
dcb23164-a6ad-40bf-85f3-a0a1b99ce652,"Big Lake Clinic - Wasilla, AK","MAT-SU HEALTH SERVICES, INC.",Wasilla,AK,ACTIVE,2026-01-29
da752206-4931-4e5b-9bc2-aeeb8ed6fd6c,"Clinton County Middle Healthy Kids Clinic - Albany, KY","CUMBERLAND FAMILY MEDICAL CENTER, INC.",Albany,KY,ACTIVE,2026-01-29
ea21d3db-688c-4f7f-b09b-e52e71f4ba08,"Northwest Family Dental and Behavioral Health - Saint Joseph, MO",NORTHWEST HEALTH SERVICES INC,Saint Joseph,MO,ACTIVE,2026-01-29
4a4ebf05-f1f2-44e4-b181-8bfd73a0073a,"Esperanza Administrative Office - Chicago, IL",ESPERANZA HEALTH CENTERS,Chicago,IL,ACTIVE,2026-01-29
b632270b-b8b1-41c2-aa06-2f23532bca36,"Norwalk Community Health Center @ Smilow Life Center - Norwalk, CT","NORWALK COMMUNITY HEALTH CENTER, INC.",Norwalk,CT,ACTIVE,2026-01-29
176520a9-6d25-4178-9b61-05b15fbe34d3,"VISTA VILLAGE PEDIATRICS - Vista, CA","DAP HEALTH, INC.",Vista,CA,ACTIVE,2026-01-29
a3e582ff-908b-482e-8186-f445135c4baf,"TAPM Family Medicine at Brentwood - High Point, NC","TRIAD ADULT & PEDIATRIC MEDICINE, INC.",High Point,NC,ACTIVE,2026-01-29
1bec4ea1-1e95-46b9-978f-d8d02e4bb10f,La Clinica School Based Health Center at Armadillo Commun... (OR),LA CLINCA DEL VALLE FAMILY HEALTH CENTER INC,Phoenix,OR,ACTIVE,2026-01-29
b6f8449e-c5ff-4e44-a571-05a1a6f07f9b,"Maria X Martinez Health Resource Center - San Francisco, CA",SAN FRANCISCO COMMUNITY CLINIC CONSORTIUM,San Francisco,CA,ACTIVE,2026-01-29
d92de4b2-a28d-4f9c-b533-f0eedcc1ae98,"Family Wellness Center - Unity Building - Woodland, CA",OLE HEALTH,Woodland,CA,ACTIVE,2026-01-29
f3c73076-61ba-459c-a940-53e297498a73,"Accordia Health - AOP - Mobile, AL",ALTAPOINTE HEALTH SYSTEMS INC,Mobile,AL,ACTIVE,2026-01-29
33974bde-1cef-46c9-a19a-bb8f80e20753,"OHI - Couch Head Start - Vallejo, CA","LA CLINICA DE LA RAZA, INC.",Vallejo,CA,ACTIVE,2026-01-29
a3f0ee1f-b7bc-4cff-b357-f23cb79bc78f,Yakima Valley Farm Workers Dental Clinic at the YV-Tech C... (WA),YAKIMA VALLEY FARM WORKERS CLINIC,Yakima,WA,ACTIVE,2026-01-29
444eef11-0356-4245-9651-051a880bde71,"Chilhowie Elementary School - Chilhowie, VA",SOUTHWEST VIRGINIA COMMUNITY HEALTH,Chilhowie,VA,ACTIVE,2026-01-29
8acaed65-e4da-4018-90e9-c05e7dd837fe,"Sixteenth Street Community Health Centers-Waukesha - Waukesha, WI",SIXTEENTH STREET COMMUNITY HEALTH CENTER,Waukesha,WI,ACTIVE,2026-01-29
3c6e5159-fd43-4fac-a1e9-3c4c15199ba3,"North Haven Middle School SBHC - North Haven, CT","COMMUNITY HEALTH CENTER, INCORPORATED",North Haven,CT,ACTIVE,2026-01-29
298a7824-c72e-4fed-bf0f-0fb4c312833c,"MHC Coalition Admin - Martinsville, VA",MARTINSVILLE HENRY COUNTY COALITION FOR HEALTH AND WELLNESS,Martinsville,VA,ACTIVE,2026-01-29
4c2f6f1a-3648-459a-bcee-3368bde8221f,"La Farge School - La Farge, WI",SCENIC BLUFFS HEALTH CENTER INC,La Farge,WI,ACTIVE,2026-01-29
07348a8e-1eb4-4230-a932-fbd098c79d42,"La Mesa Pediatrics - La Mesa, CA","DAP HEALTH, INC.",La Mesa,CA,ACTIVE,2026-01-29
9c6d4692-d9f5-4b99-8520-3914111d1b47,"Gardner Packard Children's Health Center - Suite 102 - Atherton, CA","GARDNER FAMILY HEALTH NETWORK, INC",Atherton,CA,ACTIVE,2026-01-29
3873659a-5e57-452d-8d42-61bfb06f378b,"Capital Plaza - MAT Clinic - Austin, TX",TRAVIS COUNTY HEALTHCARE DISTRICT,Austin,TX,ACTIVE,2026-01-29
5741fd6f-5b76-4f0e-b9b4-2a1c3ba5efd7,"VHC Moorpark- Internal Medicine - San Jose, CA",COUNTY OF SANTA CLARA,San Jose,CA,ACTIVE,2026-01-29
71faeaa8-30ff-43f5-80f1-c570f3be5444,"NorthShore Merrillville High School Health Center - Merrillville, IN","NORTHSHORE HEALTH CENTERS, INC",Merrillville,IN,ACTIVE,2026-01-29
00d46b1e-bd4e-44ef-8834-c6f3164fa578,"Center Street Community Clinic, Inc. - Marion, OH","CENTER STREET COMMUNITY CLINIC, INC",Marion,OH,ACTIVE,2026-01-29
cfb6f5c3-8653-4f05-9535-eae3d6b0e79a,"Custer Elementary Building 2 - Monroe, MI","FAMILY MEDICAL CENTER OF MICHIGAN, INC.",Monroe,MI,ACTIVE,2026-01-29
df594244-23c6-41ce-baa1-b7b90dece3a9,"Katahdin Valley Health Center Lincoln - Lincoln, ME",KATAHDIN VALLEY HEALTH CENTER,Lincoln,ME,ACTIVE,2026-01-29
bcf3f3fa-f652-47f9-bff8-d15d4e2b873e,Community Health Center of Southeast Kansas/Columbus High... (KS),COMMUNITY HEALTH CENTER OF SOUTHEAST KANSAS INC,Columbus,KS,ACTIVE,2026-01-29
b7f69901-5ccc-4525-9e81-cf72eea6a5e7,"Coastal Healthcare - Waldport - Waldport, OR",COUNTY OF LINCOLN,Waldport,OR,ACTIVE,2026-01-29
00d591c6-a436-4af6-914e-10825404fe8d,"Smithville Elementary School-based Health Center - Smithville, WV",RITCHIE COUNTY PRIMARY CARE ASSOCIATION,Smithville,WV,ACTIVE,2026-01-29
8e4eda61-2ba5-48cc-ac55-33cbad39ab74,"IPS School 43 - James Whitcomb Riley - Indianapolis, IN",SHALOM HEALTH CARE CENTER INC,Indianapolis,IN,ACTIVE,2026-01-29
7d6dedfd-12a7-4997-a501-0720492a8325,"Family HealthCare Network - Delano - Delano, CA",FAMILY HEALTHCARE NETWORK,Delano,CA,ACTIVE,2026-01-29
418b2f9d-aec7-4e13-ad48-316fe6fa8937,"Gilmer McLaurin Elementary School - Natchez, MS",JEFFERSON COMPREHENSIVE HEALTH CENTER INC,Natchez,MS,ACTIVE,2026-01-29
8b67f85e-600f-4d72-916c-875d6ae1051c,"William Penn Senior High - York, PA",FAMILY FIRST HEALTH CORPORATION,York,PA,ACTIVE,2026-01-29
93d71d41-7bb3-40eb-9e34-092a4204ef02,"ReGenesis Health Care - Westside Center - Duncan, SC",REGENESIS HEALTH CARE INC,Duncan,SC,ACTIVE,2026-01-29
f67eac3b-90ea-47f3-8547-e570052d7533,"Community Health Center of Bristol - Bristol, CT","COMMUNITY HEALTH CENTER, INCORPORATED",Bristol,CT,ACTIVE,2026-01-29
1ff1082a-ac2b-4064-b0a3-39d7082eb178,"Westside Family Healthcare - Ancillary Administration Office - New Castle, DE",WESTSIDE FAMILY HEALTHCARE INC,New Castle,DE,ACTIVE,2026-01-29
c562621a-4d04-452c-b9e5-1c897cb157ef,"Grand Peaks Behavioral Health-Clark County Jr/Sr High School - Dubois, ID","UPPER VALLEY COMMUNITY HEALTH, SERVICES INC",Dubois,ID,ACTIVE,2026-01-29
57ccd7c3-ff23-4bfc-a6a0-05d18dc8f5a9,Temporary Site - CareSouth/Southern University Employee W... (LA),CAPITOL CITY FAMILY HEALTH CENTER INCORPORATED,Baton Rouge,LA,ACTIVE,2026-01-29
ed6fb487-1495-4344-aa37-3b5e6eb58d85,"Addams Elementary School Health and Wellness Center - Fresno, CA",CLINICA SIERRA VISTA,Fresno,CA,ACTIVE,2026-01-29
0b30776b-7a0d-45bc-8fde-350db4b1606e,"PrimaryPlus Medical Specialties & Residency - Maysville, KY",LEWIS COUNTY PRIMARY CARE CENTER INC,Maysville,KY,ACTIVE,2026-01-29
b44fb74f-9bd0-4c57-995e-ec9d5d0054ed,"HomePlace Dental - Prestonsburg, KY","MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",Prestonsburg,KY,ACTIVE,2026-01-29
12f335a6-a7ac-4588-8974-a1094388d8dc,"LCHC @ Grant Elementary - Sheboygan, WI","LAKESHORE COMMUNITY HEALTH CARE, INC.",Sheboygan,WI,ACTIVE,2026-01-29
47650005-b603-40ad-a77b-33aa2ee0a8fe,"HHC South Fork Pharmacy - Moorefield, WV","E. A. HAWSE HEALTH CENTER, INC.",Moorefield,WV,ACTIVE,2026-01-29
d2c0cfb6-c155-48e6-9f66-91f746f7ff0e,"SIHF Healthcare - Jackie Joyner Kersee Community Center - East Saint Louis, IL","SOUTHERN ILLINOIS HEALTHCARE FOUNDATION, INC.",East Saint Louis,IL,ACTIVE,2026-01-29
5b0f95db-2853-4964-8695-599b4631c7e2,"Elica Health Centers North Highlands - North Highlands, CA",ELICA HEALTH CTR,North Highlands,CA,ACTIVE,2026-01-29
73fbb7f6-2c14-403e-945c-691c1ceade0b,"BTAMC, Inc. SHCMC Dental Clinic - Orbisonia, PA","THE BROAD TOP AREA MEDICAL CENTER, INC.",Orbisonia,PA,ACTIVE,2026-01-29
e0f73e51-9656-45e8-b0f0-6a3966dcb5a5,"Byram Middle School-based Clinic - Terry, MS",CENTRAL MISSISSIPPI CIVIC IMPROVEMENT ASSOCIATION INC,Terry,MS,ACTIVE,2026-01-29
7cb7c9ba-27d2-4f24-970b-27c4a1e762f2,"Community Medical Centers, California Street - Stockton, CA","COMMUNITY MEDICAL CENTERS, INC.",Stockton,CA,ACTIVE,2026-01-29
ec56133f-52ba-4ca8-b027-84ca2046aa06,"Casey Park Elementary - Auburn, NY",EAST HILL FAMILY MEDICAL INC.,Auburn,NY,ACTIVE,2026-01-29
3f3a9841-a331-41df-8249-4c6a3fa3c428,"AltaMed PACE - Sunland - Sunland, CA",ALTAMED HEALTH SERVICES CORPORATION,Sunland,CA,ACTIVE,2026-01-29
8fe74dc2-2a88-47e9-a523-e673898f8f95,"Sullivan County Laurel Health Center - Hughesville, PA",North Penn Comprehensive Health Services,Hughesville,PA,ACTIVE,2026-01-29
b50a7acd-c795-4fc9-867f-876872291f35,"RiverHouse - Portland, OR","THE NATIVE AMERICAN REHABILITATION ASSOCIATION OF THE NORTHWEST, INCORPORATED",Portland,OR,ACTIVE,2026-01-29
4b576411-403e-445f-a04e-81be01d2979b,"CLCHC Family Health Center - Mission Viejo, CA",CELEBRATING LIFE COMMUNITY HEALTH CENTER,Mission Viejo,CA,ACTIVE,2026-01-29
a75f7a10-96fe-4650-ac62-ccf4d3b39c46,"Minnesota Ave Health Center - Administrative Offices - Washington, DC","UNITY HEALTH CARE, INC.",Washington,DC,ACTIVE,2026-01-29
33b88a74-44eb-4211-bd4f-28ec23ea0cb1,"NorthShore Merrillville Health Center - Merrillville, IN","NORTHSHORE HEALTH CENTERS, INC",Merrillville,IN,ACTIVE,2026-01-29
199c8f5f-c9bc-400e-b2b0-c5fa9ee275d9,"Vansant Respiratory Care Center - Vansant, VA","ST. CHARLES HEALTH COUNCIL, INC.",Vansant,VA,ACTIVE,2026-01-29
c256c551-a7ae-4e28-8eb8-52b684f62c6f,"Tracy Elementary School, School Based Health Center - Lynn, MA","LYNN COMMUNITY HEALTH, INC",Lynn,MA,ACTIVE,2026-01-29
57bff3c7-15ea-4acb-a37d-9376cae811b9,"Wrangell Behavioral Health - Wrangell, AK",SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,Wrangell,AK,ACTIVE,2026-01-29
db18c75f-bdef-4647-ad20-863db11281c2,"Grace Health UC Clinic - Williamsburg, KY",GRACE COMMUNITY HEALTH CENTER,Williamsburg,KY,ACTIVE,2026-01-29
20c25646-6a05-4fb6-84f2-d82155d10187,"Jericho Road Community Health Center Vive Shelter - Buffalo, NY",JERICHO ROAD MINISTRIES INC,Buffalo,NY,ACTIVE,2026-01-29
72ead9b2-8c55-4557-94c7-e0c0583f8afa,"Meridian Health Services Corp - Warren, IN",MERIDIAN HEALTH SERVICES CORP.,Warren,IN,ACTIVE,2026-01-29
972c4c52-1cc6-4306-917c-c61c9493723f,"One Health - St. Labre - Lame Deer, MT",BIGHORN VALLEY HEALTH CENTER INC,Lame Deer,MT,ACTIVE,2026-01-29
8363038b-0020-4228-afa6-4f77ec8e2318,"Families Together of Orange County - Tustin, CA",FAMILIES TOGETHER OF ORANGE COUNTY,Tustin,CA,ACTIVE,2026-01-29
f25ebeae-6c8e-44ce-814e-090106d5957c,"PMS - Amy Biehl Communty School - Santa Fe, NM",PRESBYTERIAN MEDICAL SERVICES,Santa Fe,NM,ACTIVE,2026-01-29
6f22f7ec-1d0f-49c5-a51b-cec4231f7c6d,"453 Southland Drive - Lexington, KY",HEALTH FIRST BLUEGRASS,Lexington,KY,ACTIVE,2026-01-29
b3856a92-e17b-4d1d-8a30-ead8cff587e5,"T-Shirt Palace - Rocky Ford, CO",VALLEY-WIDE HEALTH SYSTEMS,Rocky Ford,CO,ACTIVE,2026-01-29
6d383fb3-3cb3-400a-a22b-bc4f9b3c59be,"CHS Seymour Junior High School - Seymour, TN",CHEROKEE HEALTH SYSTEMS,Seymour,TN,ACTIVE,2026-01-29
f56f95b8-8636-48e0-946c-26ad25c9235a,"Wellness Pointe - LISD - Bailey Elementary - Longview, TX","LONGVIEW WELLNESS CENTER, INC",Longview,TX,ACTIVE,2026-01-29
50eebc7f-af90-4793-80f6-92aa71774112,"Mercy office at Marshall Elementary School - Lewisburg, TN","MERCY HEALTH SERVICES, INC.",Lewisburg,TN,ACTIVE,2026-01-29
a898aa6c-78b7-45f0-8618-67d4d1405aa8,"Atchison Middle School - Atchison, KS","ATCHISON COMMUNITY HEALTH CLINIC, INC.",Atchison,KS,ACTIVE,2026-01-29
7d9099dc-9a0b-4199-b6ea-2ca3aac7860e,"HealthFirst Bluegrass Goodwin - Lexington, KY",HEALTH FIRST BLUEGRASS,Lexington,KY,ACTIVE,2026-01-29
8ae98838-a566-4f5d-8257-f136c5637938,"ARcare - 137 - Mountain Home, AR",ARCARE,Mountain Home,AR,ACTIVE,2026-01-29
01c62414-3abf-4ae7-b888-3394bb5b816e,"RKM at Greenville Park Leadership Academy - Hammond, LA","PRIMARY CARE PROVIDERS FOR A HEALTHY FELICIANA, INC.",Hammond,LA,ACTIVE,2026-01-29
4b7881a9-2407-4116-bfbf-5926cd207478,"CHS Maynardville Clinic - Maynardville, TN",CHEROKEE HEALTH SYSTEMS,Maynardville,TN,ACTIVE,2026-01-29
bb4ccc37-0755-4e81-9a5a-b9dd22807e4e,"HAPPI Health-St. Clair - Huntsville, AL",HAPPI HEALTH,Huntsville,AL,ACTIVE,2026-01-29
06961f88-2450-420e-bd52-a90fd283c622,"Meridian Health Services Corp - Mooresville, IN",MERIDIAN HEALTH SERVICES CORP.,Mooresville,IN,ACTIVE,2026-01-29
c83025f4-66c2-49a1-b755-8d7e728fcd2b,Indian Health Center of Santa Clara Valley - Intertribal ... (CA),Indian Health Center of Santa Clara Valley,San Jose,CA,ACTIVE,2026-01-29
9d0e2b2c-3554-4044-b2d9-504d3609a3ad,"Katy Trail Dental Johnson County Health Dept - Warrensburg, MO","REGIONAL HEALTH CARE CLINIC, INC.",Warrensburg,MO,ACTIVE,2026-01-29
b4b8aef6-887e-4815-9983-fa481d9ccecf,"Pueblo Del Sol Elementary School - Phoenix, AZ","VALLE DEL SOL, INC",Phoenix,AZ,ACTIVE,2026-01-29
118e6871-9c79-470f-92f0-cede668572be,"Port Clinton Health Center - Port Clinton, OH","ERIE, COUNTY OF",Port Clinton,OH,ACTIVE,2026-01-29
59925186-6456-44c7-bd79-7d971b9c0a7e,"White Mountain Health Center - White City, OR",ROGUE COMMUNITY HEALTH,White City,OR,ACTIVE,2026-01-29
e81d4895-9242-4c2e-8a2d-a1393a678ef7,"Greater Portland Health at Catherine Morrill Day Nursery - Portland, ME",PORTLAND COMMUNITY HEALTH CENTER,Portland,ME,ACTIVE,2026-01-29
0d22a159-6e81-4a57-9e61-b0e1fa867a2e,"Elica Health Centers - Mack Road - Sacramento, CA",ELICA HEALTH CTR,Sacramento,CA,ACTIVE,2026-01-29
4a06bdbe-56f7-4894-be03-910ecd5047d9,"Ferriday Family Health Center - Ferriday, LA",Catahoula Parish Hospital District #2,Ferriday,LA,ACTIVE,2026-01-29
bd3d14fb-8cd6-4cd7-acfc-db07224ebcd8,"North Knox Intermediate - Bruceville, IN",GOOD SAMARITAN FAMILY HEALTH CENTER INC,Bruceville,IN,ACTIVE,2026-01-29
3f7c17eb-b155-44ae-a345-7efaddb19e9f,"Federico F. Pena Family Health Center - Denver, CO",Denver Health and Hospital Authority,Denver,CO,ACTIVE,2026-01-29
d0e2bca8-a031-46a1-b7fd-8a2e5f1fff8f,"Alivio's Walk In Wellness Center at Berwyn - Berwyn, IL","ALIVIO MEDICAL CENTER, INC",Berwyn,IL,ACTIVE,2026-01-29
80440f04-15c9-43a0-ad7f-661c9148b1c6,"Hamilton Burton 2 Clinic - Flint, MI","Hamilton Community Health Network, Inc.",Flint,MI,ACTIVE,2026-01-29
149a0820-3b88-45b5-ab47-a7ceb565960f,"ReGenesis Health Care - Fairforest Middle School - Spartanburg, SC",REGENESIS HEALTH CARE INC,Spartanburg,SC,ACTIVE,2026-01-29
b72fea26-b036-422b-befd-f07fe94035bf,"Trojan Health Center - Sparta, NC",APPALACHIAN DISTRICT HEALTH DEPARTMENT,Sparta,NC,ACTIVE,2026-01-29
2c81a5dc-5eaa-41f3-8e87-4624c77a207c,"Marion County Middle Healthy Kids Clinic - Lebanon, KY","CUMBERLAND FAMILY MEDICAL CENTER, INC.",Lebanon,KY,ACTIVE,2026-01-29
917bdd8a-d931-4439-8cc0-850f2e1f39b4,"Mulberry Adult and Pharmacy - Mulberry, FL","CENTRAL FLORIDA HEALTH CARE, INC.",Mulberry,FL,ACTIVE,2026-01-29
217ef8e0-9fd2-459e-af06-9eee8e41ed1f,"MAHEC at Glen Arden Elementary - Arden, NC","Mountain Area Health Education Center, INC.",Arden,NC,ACTIVE,2026-01-29
4270768e-ff43-4a1e-8ec0-a955b3b7ce54,"Aspire Indiana Health - Mockingbird Hill - Anderson, IN",ASPIRE INDIANA HEALTH INC,Anderson,IN,ACTIVE,2026-01-29
9d1bc20c-e64f-4cb7-8bfd-8bfb773454e3,"Tamalpais High School Teen Clinic - Mill Valley, CA",MARIN COMMUNITY CLINIC,Mill Valley,CA,ACTIVE,2026-01-29
